id,age,sex,race,class,degree,region,happy,relig,partyid,childs,marital,vetyears,srcbelt,born,gunlaw_bin,racopen_bin,getahead_bin,colcom_bin,libmslm_bin
1,53.0,1,1,3.0,3,1,1.0,2.0,5.0,0.0,3.0,2.0,4,1,1,0,0,0,1
2,26.0,2,1,3.0,3,1,1.0,2.0,5.0,0.0,1.0,0.0,4,1,1,1,0,0,0
3,59.0,1,1,2.0,1,1,3.0,1.0,6.0,1.0,3.0,0.0,4,1,0,0,1,1,1
5,74.0,2,1,3.0,3,1,1.0,2.0,3.0,3.0,1.0,0.0,4,1,1,1,1,1,1
6,56.0,2,1,3.0,3,1,2.0,1.0,6.0,1.0,1.0,0.0,4,1,1,0,0,0,1
9,37.0,2,1,1.0,0,2,3.0,2.0,3.0,4.0,5.0,0.0,5,1,1,1,1,0,1
10,30.0,2,3,2.0,2,2,1.0,2.0,3.0,3.0,1.0,0.0,5,1,1,1,0,1,1
11,43.0,2,3,2.0,0,2,2.0,2.0,3.0,2.0,1.0,0.0,5,2,1,1,0,1,0
12,56.0,1,1,2.0,0,2,3.0,2.0,3.0,0.0,5.0,0.0,5,1,1,0,0,0,0
13,69.0,1,1,2.0,0,2,2.0,1.0,3.0,5.0,3.0,0.0,5,1,1,1,0,0,0
14,40.0,2,1,1.0,1,2,2.0,2.0,1.0,2.0,1.0,0.0,5,1,1,1,0,1,0
17,51.0,2,3,1.0,1,1,2.0,1.0,1.0,3.0,3.0,0.0,4,2,1,1,0,0,0
18,46.0,1,1,2.0,1,1,2.0,4.0,3.0,0.0,5.0,0.0,4,1,0,0,0,1,1
20,39.0,2,3,3.0,0,1,1.0,11.0,1.0,2.0,3.0,0.0,4,2,1,1,0,0,1
21,30.0,2,2,3.0,1,1,1.0,1.0,3.0,2.0,3.0,0.0,4,2,1,0,0,1,0
23,42.0,2,1,2.0,1,2,2.0,2.0,1.0,3.0,4.0,0.0,3,2,1,0,1,1,0
24,38.0,1,3,1.0,1,2,2.0,4.0,1.0,0.0,5.0,0.0,3,2,1,0,0,1,0
25,38.0,2,1,2.0,1,2,2.0,2.0,0.0,2.0,5.0,0.0,3,2,1,1,1,0,0
26,28.0,2,2,2.0,4,2,3.0,4.0,2.0,0.0,5.0,0.0,3,1,0,1,0,1,0
27,35.0,1,1,3.0,1,2,2.0,2.0,3.0,2.0,4.0,0.0,3,1,0,1,1,1,0
29,50.0,1,1,3.0,1,2,3.0,1.0,2.0,2.0,1.0,0.0,3,1,1,1,1,1,1
30,54.0,1,1,2.0,3,2,3.0,4.0,2.0,1.0,3.0,0.0,3,1,1,1,1,1,1
31,,2,1,3.0,3,2,2.0,4.0,3.0,0.0,1.0,0.0,3,1,1,1,1,1,1
32,61.0,2,1,3.0,3,2,2.0,2.0,2.0,3.0,3.0,0.0,3,1,1,1,0,0,0
33,54.0,2,1,3.0,3,2,2.0,2.0,5.0,0.0,5.0,0.0,3,1,1,1,0,1,0
34,47.0,1,1,2.0,3,2,3.0,9.0,,2.0,1.0,0.0,3,1,1,1,1,1,1
36,37.0,2,2,1.0,1,2,1.0,4.0,3.0,2.0,1.0,0.0,3,2,1,0,1,1,0
37,38.0,2,3,1.0,0,2,1.0,2.0,3.0,2.0,5.0,0.0,3,2,0,1,0,0,1
39,69.0,2,1,3.0,0,2,2.0,4.0,5.0,2.0,2.0,0.0,3,1,1,1,1,1,0
40,35.0,1,1,3.0,3,2,2.0,2.0,1.0,1.0,1.0,0.0,3,1,1,1,1,1,0
41,61.0,2,1,3.0,3,2,1.0,1.0,4.0,2.0,1.0,0.0,3,1,1,1,1,1,1
42,80.0,1,1,3.0,2,2,2.0,2.0,6.0,3.0,1.0,2.0,3,1,1,1,0,0,1
43,59.0,1,1,1.0,0,2,3.0,1.0,3.0,0.0,5.0,0.0,3,1,1,1,1,1,1
45,50.0,2,1,3.0,3,2,2.0,2.0,6.0,1.0,4.0,0.0,3,1,1,1,1,1,0
46,43.0,2,2,1.0,1,2,2.0,1.0,0.0,2.0,5.0,0.0,3,1,1,1,0,1,1
47,30.0,1,1,3.0,2,2,2.0,2.0,5.0,0.0,5.0,0.0,3,1,1,0,0,1,0
48,59.0,1,1,3.0,1,2,2.0,2.0,1.0,4.0,1.0,0.0,3,2,1,1,0,1,0
49,32.0,2,1,3.0,4,2,2.0,4.0,1.0,0.0,1.0,0.0,3,2,1,1,1,0,0
50,32.0,1,3,2.0,1,2,1.0,2.0,1.0,2.0,1.0,0.0,3,2,1,0,0,0,1
52,42.0,1,1,3.0,3,2,2.0,4.0,0.0,1.0,1.0,0.0,3,1,1,1,0,1,1
53,29.0,1,3,2.0,2,2,2.0,4.0,0.0,0.0,1.0,0.0,3,2,1,1,1,1,0
55,51.0,1,3,3.0,4,2,2.0,6.0,5.0,1.0,1.0,3.0,3,2,1,1,0,1,1
56,24.0,2,2,2.0,3,2,1.0,1.0,0.0,0.0,5.0,0.0,3,1,1,1,1,1,0
57,63.0,2,1,1.0,1,2,3.0,3.0,5.0,0.0,2.0,0.0,3,1,1,1,0,1,1
58,44.0,2,1,3.0,4,2,2.0,1.0,1.0,0.0,5.0,0.0,3,2,1,0,1,0,1
