id,age,sex,race,class,degree,region,happy,relig,partyid,childs,marital,vetyears,srcbelt,born,polhitok_bin,contv_bin,conmedic_bin,helpblk_bin,pornlaw_bin
2,61.0,1,1,,1.0,1,2.0,4.0,2.0,0.0,5.0,0.0,4,1.0,0,0,0,0,0
3,72.0,1,1,3.0,3.0,1,1.0,2.0,5.0,2.0,1.0,2.0,4,1.0,0,1,1,0,0
5,55.0,2,1,3.0,4.0,1,1.0,4.0,1.0,2.0,1.0,0.0,4,1.0,0,1,0,0,0
6,53.0,2,1,3.0,2.0,1,1.0,4.0,1.0,2.0,1.0,0.0,4,2.0,0,1,1,0,0
8,23.0,2,3,2.0,1.0,2,1.0,2.0,2.0,3.0,1.0,0.0,5,2.0,1,1,0,0,1
10,71.0,1,1,3.0,2.0,2,2.0,4.0,6.0,4.0,3.0,0.0,5,1.0,1,1,0,0,0
11,33.0,2,2,3.0,1.0,2,,1.0,0.0,5.0,5.0,0.0,5,1.0,1,0,0,1,1
13,32.0,1,2,2.0,1.0,2,1.0,2.0,2.0,3.0,1.0,0.0,5,1.0,0,0,0,0,0
14,60.0,2,2,3.0,1.0,2,1.0,1.0,0.0,5.0,1.0,0.0,5,1.0,0,1,1,0,0
15,76.0,1,1,3.0,0.0,1,2.0,2.0,3.0,7.0,3.0,0.0,4,1.0,0,0,1,0,0
16,33.0,2,1,2.0,1.0,1,2.0,5.0,3.0,2.0,5.0,0.0,4,1.0,0,1,0,0,0
17,56.0,1,1,2.0,1.0,1,1.0,1.0,,6.0,1.0,0.0,4,2.0,1,1,0,0,1
18,62.0,2,3,1.0,0.0,1,2.0,1.0,0.0,5.0,2.0,0.0,4,1.0,1,1,0,0,1
19,31.0,1,2,2.0,4.0,1,2.0,4.0,2.0,0.0,5.0,0.0,4,1.0,0,0,1,1,0
21,58.0,2,1,3.0,1.0,1,2.0,2.0,0.0,0.0,5.0,0.0,4,1.0,0,1,0,0,0
22,32.0,2,2,2.0,0.0,2,2.0,4.0,3.0,3.0,5.0,0.0,3,1.0,1,0,0,0,0
23,23.0,2,3,2.0,0.0,2,1.0,4.0,2.0,2.0,5.0,0.0,3,2.0,0,1,1,1,0
24,37.0,2,1,2.0,1.0,2,1.0,2.0,3.0,2.0,1.0,0.0,3,1.0,1,0,1,0,0
25,25.0,2,1,2.0,2.0,2,2.0,2.0,4.0,2.0,3.0,0.0,3,2.0,0,1,0,0,0
26,76.0,2,1,2.0,0.0,2,3.0,1.0,0.0,8.0,4.0,0.0,3,2.0,1,1,1,1,0
28,22.0,1,2,3.0,1.0,2,3.0,4.0,3.0,0.0,5.0,0.0,3,1.0,0,1,0,0,0
29,74.0,1,1,,4.0,2,2.0,3.0,1.0,2.0,2.0,0.0,3,1.0,0,1,0,0,1
30,75.0,2,1,3.0,1.0,2,3.0,10.0,4.0,3.0,3.0,0.0,3,1.0,0,0,1,0,0
31,32.0,1,1,1.0,1.0,2,3.0,4.0,2.0,0.0,5.0,0.0,3,1.0,0,1,1,1,0
32,68.0,2,1,3.0,1.0,2,2.0,2.0,3.0,2.0,1.0,0.0,3,1.0,0,1,1,0,0
34,46.0,1,2,2.0,1.0,2,2.0,1.0,1.0,1.0,1.0,3.0,3,2.0,0,0,0,1,1
36,35.0,1,1,3.0,1.0,2,3.0,4.0,6.0,0.0,5.0,0.0,3,1.0,0,0,1,0,0
37,59.0,1,1,2.0,3.0,2,3.0,2.0,2.0,2.0,1.0,0.0,3,1.0,1,0,1,0,0
39,58.0,2,1,3.0,3.0,2,1.0,1.0,6.0,0.0,5.0,0.0,3,1.0,0,0,1,0,1
40,79.0,2,1,3.0,1.0,2,2.0,3.0,0.0,1.0,2.0,0.0,3,1.0,1,0,1,1,0
41,40.0,2,1,2.0,1.0,2,2.0,1.0,2.0,1.0,5.0,0.0,3,1.0,0,1,0,0,1
43,68.0,2,3,3.0,3.0,2,2.0,4.0,5.0,2.0,1.0,0.0,3,2.0,0,1,0,0,1
44,36.0,2,1,3.0,4.0,2,3.0,4.0,1.0,0.0,5.0,0.0,3,2.0,1,1,1,1,0
45,70.0,1,1,3.0,1.0,2,1.0,3.0,5.0,0.0,3.0,0.0,3,2.0,0,1,0,0,1
46,28.0,1,1,4.0,1.0,2,1.0,4.0,0.0,0.0,5.0,0.0,3,1.0,1,1,0,1,0
47,35.0,2,2,3.0,3.0,2,2.0,2.0,1.0,0.0,5.0,0.0,3,1.0,0,1,0,0,0
49,23.0,1,1,3.0,3.0,2,2.0,3.0,3.0,0.0,5.0,0.0,3,2.0,0,1,0,0,0
50,47.0,2,1,3.0,4.0,2,1.0,1.0,0.0,0.0,3.0,0.0,3,1.0,0,0,1,1,1
51,25.0,2,3,3.0,3.0,2,1.0,4.0,1.0,0.0,5.0,0.0,3,1.0,0,1,0,0,0
53,20.0,1,1,4.0,1.0,2,1.0,2.0,5.0,0.0,5.0,0.0,3,1.0,0,1,0,0,1
54,41.0,1,1,4.0,4.0,2,1.0,2.0,4.0,2.0,1.0,0.0,3,1.0,0,1,0,0,0
56,42.0,2,1,3.0,3.0,2,2.0,2.0,2.0,2.0,1.0,0.0,3,1.0,0,1,0,0,0
57,40.0,2,1,3.0,4.0,2,2.0,3.0,1.0,3.0,3.0,0.0,3,1.0,1,1,1,1,0
58,57.0,2,1,3.0,4.0,2,2.0,3.0,1.0,2.0,3.0,0.0,3,1.0,0,0,1,0,0
59,59.0,2,1,,4.0,2,2.0,3.0,0.0,2.0,3.0,0.0,3,1.0,0,0,1,1,0
61,26.0,1,2,3.0,1.0,2,2.0,1.0,3.0,0.0,5.0,0.0,1,1.0,1,1,0,1,0
62,35.0,1,2,3.0,1.0,2,3.0,1.0,3.0,2.0,2.0,0.0,1,1.0,1,0,0,0,1
63,51.0,2,2,1.0,1.0,2,,1.0,3.0,3.0,4.0,0.0,1,1.0,1,1,0,1,1
64,39.0,2,2,2.0,1.0,2,3.0,1.0,1.0,3.0,3.0,0.0,1,1.0,1,0,1,1,0
66,30.0,1,3,2.0,0.0,2,2.0,2.0,0.0,2.0,5.0,0.0,1,1.0,1,1,1,1,0
67,29.0,1,3,2.0,1.0,2,2.0,4.0,4.0,2.0,5.0,0.0,1,1.0,1,0,0,0,0
73,80.0,1,2,2.0,1.0,2,2.0,4.0,1.0,1.0,2.0,2.0,1,1.0,1,1,1,0,0
74,70.0,1,2,1.0,1.0,2,3.0,4.0,0.0,4.0,3.0,2.0,1,2.0,0,1,0,0,0
76,49.0,2,2,4.0,0.0,2,3.0,2.0,3.0,4.0,5.0,0.0,1,1.0,1,1,1,1,1
79,78.0,2,1,3.0,4.0,2,1.0,1.0,0.0,0.0,2.0,0.0,1,1.0,1,1,0,1,0
80,41.0,1,2,2.0,1.0,2,1.0,4.0,,0.0,5.0,0.0,1,1.0,0,1,0,0,0
82,35.0,2,1,2.0,2.0,2,3.0,4.0,7.0,1.0,4.0,0.0,1,1.0,0,0,0,0,0
84,44.0,1,1,3.0,1.0,2,1.0,2.0,4.0,3.0,3.0,0.0,3,1.0,1,1,0,0,0
85,41.0,1,1,2.0,2.0,2,2.0,1.0,1.0,3.0,1.0,0.0,3,2.0,0,1,1,1,1
87,45.0,2,1,2.0,3.0,2,2.0,1.0,4.0,0.0,5.0,0.0,3,1.0,1,1,0,1,0
89,41.0,2,1,2.0,1.0,2,1.0,2.0,2.0,3.0,4.0,0.0,3,2.0,1,1,0,1,1
90,68.0,1,1,2.0,1.0,2,2.0,3.0,2.0,0.0,5.0,2.0,3,1.0,1,1,0,0,0
91,57.0,2,2,4.0,1.0,2,2.0,4.0,1.0,3.0,5.0,0.0,3,1.0,0,0,0,1,0
92,72.0,1,2,3.0,4.0,2,1.0,4.0,1.0,3.0,1.0,0.0,3,2.0,1,1,1,1,0
